,panjang kelopak,lebar kelopak,panjang mahkota,lebar mahkota,spesies
0,5.0,3.2,1.2,0.2,Iris-setosa
1,5.5,3.5,1.3,0.2,Iris-setosa
2,4.9,3.1,1.5,0.1,Iris-setosa
3,4.4,3.0,1.3,0.2,Iris-setosa
4,7.7,3.0,6.1,2.3,Iris-virginica
5,6.1,2.6,5.6,1.4,Iris-virginica
6,5.1,3.4,1.5,0.2,Iris-setosa
7,6.3,3.4,5.6,2.4,Iris-virginica
8,6.4,3.1,5.5,1.8,Iris-virginica
9,6.0,3.0,4.8,1.8,Iris-virginica
10,6.4,3.2,4.5,1.5,Iris-versicolor
11,7.0,3.2,4.7,1.4,Iris-versicolor
12,6.9,3.1,4.9,1.5,Iris-versicolor
13,5.5,2.3,4.0,1.3,Iris-versicolor
14,6.5,2.8,4.6,1.5,Iris-versicolor
15,6.0,2.2,4.0,1.0,Iris-versicolor
16,5.9,3.0,4.2,1.5,Iris-versicolor
17,6.1,2.9,4.7,1.4,Iris-versicolor
18,5.6,2.9,3.6,1.3,Iris-versicolor
19,6.3,2.5,5.0,1.9,Iris-virginica
20,6.7,3.1,4.4,1.4,Iris-versicolor
21,6.7,3.0,5.2,2.3,Iris-virginica
22,6.5,3.0,5.2,2.0,Iris-virginica
23,6.2,3.4,5.4,2.3,Iris-virginica
24,4.9,3.0,1.4,0.2,Iris-setosa
25,5.1,3.5,1.4,0.2,Iris-setosa
26,5.9,3.0,5.1,1.8,Iris-virginica
27,4.7,3.2,1.3,0.2,Iris-setosa
28,4.6,3.1,1.5,0.2,Iris-setosa
29,5.7,3.0,4.2,1.2,Iris-versicolor
30,5.7,2.9,4.2,1.3,Iris-versicolor
31,5.0,3.6,1.4,0.2,Iris-setosa
32,6.2,2.9,4.3,1.3,Iris-versicolor
33,5.1,2.5,3.0,1.1,Iris-versicolor
34,7.2,3.6,6.1,2.5,Iris-virginica
35,6.7,2.5,5.8,1.8,Iris-virginica
36,5.7,2.8,4.1,1.3,Iris-versicolor
37,6.5,3.2,5.1,2.0,Iris-virginica
38,6.4,2.7,5.3,1.9,Iris-virginica
39,5.1,3.8,1.5,0.3,Iris-setosa
40,5.7,3.8,1.7,0.3,Iris-setosa
41,6.8,3.0,5.5,2.1,Iris-virginica
42,5.4,3.4,1.7,0.2,Iris-setosa
43,5.1,3.7,1.5,0.4,Iris-setosa
44,4.6,3.6,1.0,0.2,Iris-setosa
